image,label,pixel_weight,image_weight
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_84_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_84_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_84_t2.nii.gz,0.039862476695667615
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_6_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_6_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_6_t2.nii.gz,0.04702890907845846
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_206_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_206_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_206_t2.nii.gz,0.06292927972802288
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_188_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_188_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_188_t2.nii.gz,0.06668337244186959
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_205_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_205_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_205_t2.nii.gz,0.07094276291983469
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_166_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_166_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_166_t2.nii.gz,0.07787987281536234
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_36_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_36_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_36_t2.nii.gz,0.08121276607174845
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_183_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_183_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_183_t2.nii.gz,0.08316267237943761
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_240_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_240_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_240_t2.nii.gz,0.08454455751361269
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_176_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_176_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_176_t2.nii.gz,0.08534850207242099
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_163_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_163_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_163_t2.nii.gz,0.08891833774627202
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_77_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_77_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_77_t2.nii.gz,0.08977174758911133
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_199_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_199_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_199_t2.nii.gz,0.09149630394207656
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_22_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_22_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_22_t2.nii.gz,0.09280424048430728
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_75_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_75_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_75_t2.nii.gz,0.0934157135462997
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_54_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_54_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_54_t2.nii.gz,0.09500687809313758
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_59_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_59_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_59_t2.nii.gz,0.09597211845954601
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_189_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_189_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_189_t2.nii.gz,0.09741502794726141
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_65_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_65_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_65_t2.nii.gz,0.10285499427891985
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_5_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_5_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_5_t2.nii.gz,0.10449694390077471
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_192_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_192_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_192_t2.nii.gz,0.10600831648882697
