image,label,image1,pixel_weight,image_weight
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_48_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-cyc12_vst1s_3t1+2t2_121_i-t2-train/vs_gk_48_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_48_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/cyc121_t1s_sub_arr/vs_gk_48_t2.nii.gz,0.08173208695266339
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_199_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-cyc12_vst1s_3t1+2t2_121_i-t2-train/vs_gk_199_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_199_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/cyc121_t1s_sub_arr/vs_gk_199_t2.nii.gz,0.08438702633506373
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_36_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-cyc12_vst1s_3t1+2t2_121_i-t2-train/vs_gk_36_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_36_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/cyc121_t1s_sub_arr/vs_gk_36_t2.nii.gz,0.08979983260666115
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_205_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-cyc12_vst1s_3t1+2t2_121_i-t2-train/vs_gk_205_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_205_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/cyc121_t1s_sub_arr/vs_gk_205_t2.nii.gz,0.09272010906322582
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_188_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-cyc12_vst1s_3t1+2t2_121_i-t2-train/vs_gk_188_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_188_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/cyc121_t1s_sub_arr/vs_gk_188_t2.nii.gz,0.09864212939301012
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_6_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-cyc12_vst1s_3t1+2t2_121_i-t2-train/vs_gk_6_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_6_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/cyc121_t1s_sub_arr/vs_gk_6_t2.nii.gz,0.0997139207876412
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_183_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-cyc12_vst1s_3t1+2t2_121_i-t2-train/vs_gk_183_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_183_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/cyc121_t1s_sub_arr/vs_gk_183_t2.nii.gz,0.10041113157530089
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_60_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-cyc12_vst1s_3t1+2t2_121_i-t2-train/vs_gk_60_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_60_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/cyc121_t1s_sub_arr/vs_gk_60_t2.nii.gz,0.10190598557635051
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_84_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-cyc12_vst1s_3t1+2t2_121_i-t2-train/vs_gk_84_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_84_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/cyc121_t1s_sub_arr/vs_gk_84_t2.nii.gz,0.10209346111909842
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_95_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-cyc12_vst1s_3t1+2t2_121_i-t2-train/vs_gk_95_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_95_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/cyc121_t1s_sub_arr/vs_gk_95_t2.nii.gz,0.10298161779731381
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_54_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-cyc12_vst1s_3t1+2t2_121_i-t2-train/vs_gk_54_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_54_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/cyc121_t1s_sub_arr/vs_gk_54_t2.nii.gz,0.1041017085947889
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_192_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-cyc12_vst1s_3t1+2t2_121_i-t2-train/vs_gk_192_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_192_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/cyc121_t1s_sub_arr/vs_gk_192_t2.nii.gz,0.10584425418934923
