image,label,image1,pixel_weight,image_weight
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_22_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-vst1s_dsbn_t1t2_gan_smallplus_i-t2-train/vs_gk_22_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_22_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/twostage_sub_cyc_arr/vs_gk_22_t2.nii.gz,0.3412647247314453
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_242_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-vst1s_dsbn_t1t2_gan_smallplus_i-t2-train/vs_gk_242_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_242_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/twostage_sub_cyc_arr/vs_gk_242_t2.nii.gz,0.3450238458041487
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_93_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-vst1s_dsbn_t1t2_gan_smallplus_i-t2-train/vs_gk_93_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_93_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/twostage_sub_cyc_arr/vs_gk_93_t2.nii.gz,0.34670973477298267
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_13_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-vst1s_dsbn_t1t2_gan_smallplus_i-t2-train/vs_gk_13_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_13_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/twostage_sub_cyc_arr/vs_gk_13_t2.nii.gz,0.3577160881560983
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_8_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-vst1s_dsbn_t1t2_gan_smallplus_i-t2-train/vs_gk_8_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_8_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/twostage_sub_cyc_arr/vs_gk_8_t2.nii.gz,0.35839617134320856
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_84_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-vst1s_dsbn_t1t2_gan_smallplus_i-t2-train/vs_gk_84_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_84_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/twostage_sub_cyc_arr/vs_gk_84_t2.nii.gz,0.35914788927350727
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_36_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-vst1s_dsbn_t1t2_gan_smallplus_i-t2-train/vs_gk_36_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_36_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/twostage_sub_cyc_arr/vs_gk_36_t2.nii.gz,0.3620108932745261
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_187_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-vst1s_dsbn_t1t2_gan_smallplus_i-t2-train/vs_gk_187_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_187_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/twostage_sub_cyc_arr/vs_gk_187_t2.nii.gz,0.3650652506705106
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_175_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-vst1s_dsbn_t1t2_gan_smallplus_i-t2-train/vs_gk_175_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_175_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/twostage_sub_cyc_arr/vs_gk_175_t2.nii.gz,0.3656800416138795
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_240_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/m-vst1s_dsbn_t1t2_gan_smallplus_i-t2-train/vs_gk_240_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T2_train/img_n/vs_gk_240_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/script/FPL-UDA/twostage_sub_cyc_arr/vs_gk_240_t2.nii.gz,0.36915723854136245
