image,label
BraTS20_Training_005.nii.gz,BraTS20_Training_005.nii.gz
BraTS20_Training_012.nii.gz,BraTS20_Training_012.nii.gz
BraTS20_Training_028.nii.gz,BraTS20_Training_028.nii.gz
BraTS20_Training_044.nii.gz,BraTS20_Training_044.nii.gz
BraTS20_Training_048.nii.gz,BraTS20_Training_048.nii.gz
BraTS20_Training_082.nii.gz,BraTS20_Training_082.nii.gz
BraTS20_Training_087.nii.gz,BraTS20_Training_087.nii.gz
BraTS20_Training_094.nii.gz,BraTS20_Training_094.nii.gz
BraTS20_Training_110.nii.gz,BraTS20_Training_110.nii.gz
BraTS20_Training_128.nii.gz,BraTS20_Training_128.nii.gz
BraTS20_Training_142.nii.gz,BraTS20_Training_142.nii.gz
BraTS20_Training_172.nii.gz,BraTS20_Training_172.nii.gz
BraTS20_Training_190.nii.gz,BraTS20_Training_190.nii.gz
BraTS20_Training_217.nii.gz,BraTS20_Training_217.nii.gz
BraTS20_Training_233.nii.gz,BraTS20_Training_233.nii.gz
BraTS20_Training_275.nii.gz,BraTS20_Training_275.nii.gz
BraTS20_Training_277.nii.gz,BraTS20_Training_277.nii.gz
BraTS20_Training_311.nii.gz,BraTS20_Training_311.nii.gz
BraTS20_Training_317.nii.gz,BraTS20_Training_317.nii.gz
BraTS20_Training_341.nii.gz,BraTS20_Training_341.nii.gz
